term	definition
chalk bag	A small pouch for holding chalk that is hung on a belt tied around the waist.A hand-sized holder for climbing chalk that is usually carried on a chalkbelt or clipped to a harness for easy access during a climb.
chalk bucket	A large chalk bag designed to be left on the ground.
chalk ball	A small round mesh bag filled with chalk.
chalking up	Coating the hands with chalk.
chicken head	A protruding lump of rock, most common on granite.See bollard and horn.
chicken wing	A jamming technique in which the arm is bent and inserted into a crack elbow first with the palm pressed against one wall while the tricep/shoulder presses against the other. Similar to an arm bar.A crack climbing technique where a hand is placed on one side of the crack and the shoulder on the other.[18]
chipping	Creating or enhancing a climbing hold. The worst sin a climber can commit.Improving a hold by permanently altering the rock, which is considered unethical and unacceptable.
cheatstone	A stone placed at the bottom of a problem to bring the starting holds into reach.
chimney	A wide crack that is large enough to climb into.1.  A rock cleft with mostly parallel vertical sides, and large enough to fit the climber's body into. To climb such a structure, the climber often uses their head, back, and feet to apply pressure on the opposing faces of the vertical walls.2.  The process of using such a technique (chimneying).
choss	Loose, dirty or otherwise unappealing rock.Loose or "rotten" rock that makes for unpleasant, difficult, or dangerous climbing.
chunking	Breaking down a move or problem into small sections to figure out how to climb it.
circuit	Either a grouping of problems of similar difficulty (most common in Fontainebleau, France) or a long problem, often a loop, climbed on an indoor wall to train endurance.
climbing shoes	Tight fitting, rubber covered shoes designed for rock climbing.
cobble	An embedded stone that is used as a hold. Usually rounded and smooth.
conditions	The suitability of the temperate, humidity, wind etc. for climbing.
conglomerate	A sedimentary rock type that is mainly composed of embedded round stones (cobbles).
compression	A technique for climbing symmetrical features by placing a hand (or foot) on either side and pulling hard to hold the body in place.
core	The muscles of the stomach, lower back and legs.
corner	A feature formed where two planes meet at roughly right angles (AKA dihedral).An inside corner of rock, the opposite of an arête (UK). See dihedral.
crag	A generic term for a climbing or bouldering area. May also refer specifically to an outcrop of rock.A small area with climbing routes, often just a small cliff face or a few boulders.
crimp	A small edge. Also a powerful grip in which the second finger joint is bent sharply and the thumb presses onto the index finger (AKA full crimp).1.  A hold which is only just big enough to be grasped with the tips of the fingers.[10]2.  The process of holding onto a crimp.
cross through	A traversing move in which one hand reaches past (over or under) the other to reach the next hold.
cusp	A grip in which a protruding hold is squeezed, over the top or around the side, between the fingers and palm, with the fingers on the side nearest the body (AKA guppy).
crystal	A small piece of quartz that can be used as a hold, common on some types of granite.
dab	When, mid ascent, a climber brushes off or hits into their spotter, a tree, the ground, another boulder or a pad.A term in bouldering for accidentally touching the ground, crash pad, spotter, or another route which might have helped the climber while trying to ascend a particular route, instances of which are typically prohibited.[21]
deadhang	To hang with straight arms without any assistance from the feet.
deadpoint	The instant in a movement when the body is moving neither up nor down, the ideal time to grab a hold.A controlled dynamic motion in which the hold is grabbed with one hand at the apex of upward motion of the body, while one or both feet and the other hand maintain contact with the rock.[23] Dynamic motions in which both feet leave the rock are typically called dynos.
deep water soloing	Climbing above water without a rope, often abbreviated to DWS.
descent route	The way down from a boulder (AKA downclimb).
diagonal stride	Using opposing limbs in coordination.
down climbing	Reversing down a problem either as a retreat or as a means of getting off a boulder.
double dyno	A dyno in which the target hold or holds are simultaneously grabbed with both hands.
dropknee	When one foot inside edges while the other outside edges, the knee of the outside edging leg is lowered so that the feet are pushing away from each other rather than down (AKA Egyptian).See Egyptian.[9]
dynamic	Any move that uses momentum.
dyno	An all out leap during which the whole body is airborne and has, very briefly, no contact with the rock.A jump or leap in which both feet leave the rock face and return again once the target hold is caught.
edge	A flat horizontal hold.A narrow ledge on a rock wall.
edging	Standing on an edge.Using the edge of a climbing shoe on a foothold. In the absence of footholds, smearing is used.
eliminate	A contrived problem in which certain holds are deemed off limits to make the climbing harder.A bouldering move or series of moves in which either certain holds are placed "off bounds" or other artificial restrictions are imposed.
featured wall	An indoor wall that is designed to resemble real rock.
fingerboard	A small wooden or resin board covered in hand holds that is hung from to train finger strength.
finger jam	A jam in which the fingers are inserted into a crack and rotated until they are wedged.A type of jam using the finger.
finger tape	Strong tape designed to provide support to injured fingers.
first ascent	The first time a boulder problem is climbed.
figure four	A very rarely used technique for making a long static reach from a positive hold. Involves hooking a leg over the holding arm.An advanced climbing technique in which the climber hooks a leg over the opposite arm, and then pushes down with this leg to achieve a greater vertical reach. Requires strength and a solid handhold.
fist jam	A jam in which the fist is inserted into a crack.A type of jam using the hand.
flagging	To dangle one leg in the air for balance, usually done on steep rock.A climbing technique in which a leg is held in a position to maintain balance, rather than to support weight. Such positions are often useful in preventing barn-dooring. There are three types of flagging:
Normal flag: When the flagging foot stays on the same side (e.g. flagging with the right foot out to the right side of the body).
Reverse inside flag: When the flagging foot is crossed in front of the foot that is on a foothold.
Reverse outside flag: When the flagging foot is crossed behind the foot that is on a foothold.[10][9]Normal flag: When the flagging foot stays on the same side (e.g. flagging with the right foot out to the right side of the body).
Reverse inside flag: When the flagging foot is crossed in front of the foot that is on a foothold.
Reverse outside flag: When the flagging foot is crossed behind the foot that is on a foothold.[10][9]
flake	A thin, partially detached, slice of rock.1.  A thin slab of rock detached from the main face.2.  A method of untangling a rope in which the rope is run through the climber's hands and allowed to fall into a pile on the ground. Useful when preparing a rope for coiling, or before starting a lead climb, to ensure the rope is fed cleanly and without twists. Often called "flaking out" a rope.
flapper	When a large chunk of skin is ripped off, usually during a dynamic move.An injury consisting of a piece of loose (flapping) skin. A climber will usually just repair these with sticky tape or super glue.
flared	A crack with sides that taper outwards making it very difficult to jam.
flash	To climb a problem on the first try from start to finish.To successfully and cleanly complete a climbing route on the first attempt after having received beta of some form. Also refers to an ascent of this type. For ascents on the first attempt without receiving beta, see on-sight.
footwork	The art of using the feet well.
foot cam	A technique in which the foot is rotated around the heel until it wedges, works well in horizontal cracks or breaks .
foot jam	A jamming technique in which the foot is wedged, toes first, into a crack.A technique involving jamming the foot into a larger crack by twisting the foot into place, the contact with the crack being on the heel and toes.
foot swap	Replacing one foot for another on a foot hold.
friction	The force created when skin or rubber is pressed into the rock.A climbing technique relying on the friction between the sloped rock and the sole of the shoe to support the climber's weight, as opposed to using holds or edges, cracks, etc.
frogging	Getting the hips parallel and as close as possible to the wall with the knees pointing out to the sides.
front pointing	Standing on a hold with the tip of the big toe.
gabbro	A coarse grained, rough igneous rock.
gaston	Gripping a vertical hold with the arm bent at the elbow and the hand, thumb down, pulling the hold away from the body.A climbing grip using one hand with the thumb down and elbow out, often thought of as a reverse side pull. The grip maintains friction against a hold by pressing outward toward the elbow. Named for French climber Gaston Rébuffat.[9]
grades	An indication of how difficult it is to climb a problem assuming good conditions and the best sequence.
granite	A rough, igneous rock that consists mainly of quartz, mica, and feldspar.
gritstone	A hard, coarse grained form of sandstone (AKA grit).
groove	A shallow corner.
ground up	Attempting and climbing a problem or route without inspecting it from a rope and starting from the ground on each attempt.
guidebook	A book containing information about a bouldering area (or areas) including details of the problems, directions, maps and photos.
hand jam	A jam in which an open hand is inserted into a crack and pressed against the sides with the knuckles against one side, fingertips and palm against the other.Making progress by inserting the hand (usually vertically with the thumb uppermost) into a crack and then pushing the thumb downwards towards the palm. This expands the hand and can make a highly secure placement. In the UK this move was credited with facilitating the advances in free climbing in the late 1940s and 1950s made by climbers such as Joe Brown and Don Whillans, although they did not invent it.
hand stacking	An advanced technique for hand jamming in offwidth cracks.
headpointing	Climbing a route or problem after rehearsing the moves on a top rope first.
heel hooking	Placing the heel of the foot on a hold and using it like an extra hand.
highball	A tall boulder problem.
hueco	A large rounded pocket.(From Spanish hueco, meaning "hole") A climbing hold consisting of a pocket in the rock, typically round and deep and featuring a positive lip. Huecos vary in size from accommodating a single finger (this is also called a "mono") to large enough to fit one's entire body. The term hueco entered the jargon of rock climbers from the Texas climbing area Hueco Tanks that is famous for this sort of hold.
inside edge	The straight edge running along the inside of the big toe.
intermediate	A small hold that is used briefly during a reach to a distant hold.
jamming	Wedging a body part into a crack.Wedging a body part into a crack.
jug	A large incut hold (AKA bucket).A shortened term for jug hold, both noun and verb.
jump	A dynamic movement in which one hand stays on while both feet leave the rock. There is at least one point of contact at all times.
jump start	Jumping from the ground to the starting holds of a problem (AKA French start).
kipping	Kicking the legs to generate momentum when hanging from the arms.
kneebars	A jam that leverages between foot and knee. The foot stands on a conventional hold while the knee (really the front or side of the lower thigh) presses into a corner, overlap or large protruding hold.
lace ups	Climbing shoes that are fastened with laces.
landing	The landing zone beneath a problem.
launch pad	A small bouldering pad that is designed to protect the start of a problem or as a supplement to other larger pads.
layback	A technique for climbing continuous vertical features such as cracks, flakes or aretes, that relies on opposition created by pulling with the hands and pushing with the feet (AKA liebacking).
link up	Combining sections or whole problems together to create a more difficult challenge.
linking	Practising sections of a problem to prepare for the complete ascent from start to finish.
limestone	A sedimentary rock composed of skeletal fragments of marine organisms such as coral.
liquid chalk	A mix of alcohol and chalk that is rubbed into the hands to coat them with chalk.A liquid form of climbing chalk with a longer hold time than normal chalk. It is used on very hard routes and competitions, where the act of re-chalking requires too much energy or time.
lock off	A static reach done with the holding arm bent sharply.
lowball	A low or short boulder problem.
mantel	A method of getting from hanging the lip of a boulder or ledge to standing on it (short for mantel-shelf). Also a verb, “mantel the ledge“.A move used to surmount a ledge or feature in the rock in the absence of any useful holds directly above. It involves pushing down on a ledge or feature instead of pulling oneself up. In ice climbing, manteling is done by moving the hands from the shaft to the top of the ice tool and pushing down on the head of the tool. Abbreviation of mantelshelf.[10][9]
matching	Placing both hands side by side on a hold (AKA sharing).
midge	Tiny (1-4mm) flying insects which are most common in temperate climates during the summer months on humid, still days.
mono	A small pocket that can only fit one finger.(French monodoigt, meaning "single finger") A climbing hold, typically a pocket or hueco, that only has enough room for one finger.
monzonite	An igneous rock type, similar to granite.
morpho	A climb or move whose difficulty is highly dependent on the body shape or size of the climber. Usually code for “hard for the short”.
offwidth	A crack that is too wide to jam but too narrow to climb inside.
open hand	Gripping a hold with the fingers only slightly bent.
opposition	Creating tension either by pulling a pair of holds that face away from each other or pushing on a pair of holds that face each other.
outside edge	The curved section of a climbing shoe between the tip of the big toe and the side of the little toe.
over gripping	Holding on with the hands harder then necessary, wasting strength and energy.
overhanging	Rock that is steeper than vertical.
overlap	A small roof.
palming	Pressing the palm of the hand onto the rock.
parkour	A physical discipline that focuses on movement around obstacles by vaulting, rolling, running, climbing, and jumping (AKA free running).
patioing	Improving a landing by shifting rocks.
pebbles	Tiny stones protruding from the surface of the rock, most common on gritstone.
pinch	A hand hold that is squeezed between the fingers and thumb.
pocket	A hole in the rock that can be used as a hand or foot hold.
power endurance	The ability to do multiple hard moves in a row.
problem	A bouldering route.In bouldering, the path that a climber takes in order to complete a climb; used equivalently to route in roped climbing.
prow	A narrow overhanging arete.
pumped	When the forearms become filled with lactic acid after a bout of hard or sustained climbing.To have such an accumulation of metabolic waste products in the forearm, that forming even a basic grip becomes impossible. A climber who is pumped will find it difficult to hold on, and may struggle to lift or clip a rope.
reading	Analysing how to climb a problem.
rockover	Placing a foot on a high hold and standing up on it using a combination of pulling with the arms and pushing with the legs.
roof	An approximately horizontal piece of rock.A steep overhang which transitions sharply into shallower climbing often blocking direct sight of the feet causing the climber to find footholds blindly.
rubber	The sticky compound that is used on the soles of climbing shoes.
run and jump	A dynamic technique that involves running at the rock, kicking off one or more foot holds and jumping for the hand holds.
sandbag	A problem that is given a significantly lower grade than it deserves. Also a verb, to sandbag, which is to underplay the difficulty of a problem.A climb which receives a much lower grade than deserved. Also used as a verb when referring to the act of describing a climbing route as easier than it actually is.
sandstone	A sedimentary rock composed mainly of sand-sized minerals or rock grains.
screw on	A very small artificial hold, that is screwed rather than bolted to the surface of a climbing wall. Usually used as a foot hold.A small climbing hold screwed onto the wall in a climbing gym. Can be used for feet in a route regardless of its colour.
seam	A narrow or closed crack.
send	To successfully climb a problem.To cleanly complete a route, i.e. on-sight, flash, or redpoint. See also 'scend.
sequence	The details of how a problem is climbed (AKA beta).
share	To place both hands on the same hold simultaneously.
sidepull	A vertical hold that faces away from the body.
sit start	To start a problem from a sitting position, sometimes abbreviated as SS or SDS (sit down start).Starting a climb from a position in which the climber is sitting on the floor. This is common in climbing gyms in order to fit an extra move into the climb. Noted as SS or SDS in some topo guides.
slab	A less than vertical piece of rock.A relatively low-angle (significantly less than vertical) section of rock, usually with few large features. Requires slab climbing techniques.
slap	A quick reach or lunge during which there is a minimum of two points of contact at all times.
slippers	Soft climbing shoes.
sloper	A rounded or sloping hand hold.A hold or part of a hold in which the surface slopes down toward the ground, with very little positive surface.[10]
slot	A narrow horizontal pocket.
smear	A sloping foot hold. Used as a verb it means to place a foot flat against the rock.
soloing	Climbing a route without a rope. The complete term is free soloing.
splitter	A long, parallel sided crack.Describes a clean crack with perfectly parallel sides, usually in an otherwise blank face. Generalized to refer to any great climb, happy situation, or even favorable weather.
spotting	Guiding a falling climber safely to the ground.A method of protection commonly used during bouldering or before the leader has placed a piece of protection. The spotter stands beneath the climber, ready to absorb the energy of a fall and direct them away from any hazards.
sport climbing	Routes that are protected by clipping the rope to permanent bolts.A style of climbing in which form, technical (or gymnastic) ability, and strength are more greatly emphasized over exploration, self-reliance, and the exhilaration of the inherent dangers involved in the sport. Sport climbing routes tend to be well protected with pre-placed bolt-anchors and lend themselves well to competitive climbing.
sprag	A grip in which the thumb pushes the rock above the fingers to create more downward force.A type of hand position where the fingers and thumb are opposed.
squat	An exercise for developing leg strength.
squeak	To thoroughly clean the sole of a climbing shoe.
stalactites	A limestone tooth that hangs from the ceiling of a roof.
stamina	The ability to do a large volume of climbing.
static	To do a move slowly and in total control.Of a style of climbing or specific move, not dynamic. In general this entails movement of a limb to a new hold without the simultaneous transfer of weight. Instead weight transfer occurs after the limb has moved.
stemming	Pressing the legs away from each other to create an opposition force that holds the body in place. Usually done in corners or grooves but can be done between two protruding holds (AKA bridging).1.  The simultaneous use of two widely spaced footholds.2.  Climbing using two faces that are at an angle of less than 180° to each other.[10][9]
stepping through	Standing (usually with the outside edge) on the next foot hold with the foot furthest from it.
syenite	A coarse grained igneous rock of similar composition to granite but with a very low amount of chalk.
taco	A type of bouldering pad that consists of one continuous section of foam that bends in the middle for transporting.
technical	A problem that demands a high standard of technique and movement skills.A term often used to describe relatively difficult or complex sequences of moves and/or the degree of ingenuity and creativity required to protect a route. Difficulty ratings of climbs are often based on a combination of the perceived technicality of the climb and the endurance or strength necessary to complete it.
tennis elbow	Aches and pains in the outside of the elbows caused by a lack of balance between the pushing and pulling muscles.
thumbcatch	Improving a hold by pinching the underside of it with the thumb.
tickmark	A small chalk mark that indicates the location of a hard to see hold.
toe hooking	Using the top of the toe to pull on a hold.
topo	A map or photo upon which the line taken by a problem (or problems) is marked.
top out	The process of getting stood up on the top of a problem. Indoors you usually jump down from the finishing hold rather than top out.
top rope	Anchoring the rope at the top of the cliff or boulder so that the climber can climb in safety.To belay from a fixed anchor point above the climb. Top-roping requires easy access to the top of the climb, often by means of a footpath or scrambling.
trad climbing	Climbing a route protected by gear that has been placed by the leader.
training board	A small, steep wooden climbing wall (AKA woodie).
traverse	A problem that travels predominantly sideways.1.  Any climbing movement made in a horizontal direction.2.  A section of a route that requires progress in a horizontal direction.3.  A Tyrolean traverse is crossing a chasm using a rope anchored at both ends.4.  A pendulum traverse involves swinging across a wall or chasm while suspended from a rope affixed above the climber.
turning the lip	The process of getting from hanging from the lip of a roof to standing on the lip.
tufas	A limestone rib.
undercut	A downward facing hold (AKA undercling).See undercling.
v grade	An American system for grading problems, consisting of a number prefixed by the letter V, the higher the number the more difficult the problem.
velcros	Climbing shoes that are fastened with velcro straps.
volcanic tuff	A rock type consisting of consolidated ash ejected from a volcano.
volume	A large, hollow plywood or resin hold (usually triangular or rounded), upon which other holds can be mounted.A large, hollow, bolted-on bouldering hold.
wall	A roughly vertical piece of rock.
wire brush	A very aggressive wire bristled brush that should never be used to clean rock.
wired	Having a problem mastered (AKA dialled).A route or sequence that a climber has rehearsed extensively and thus ascends with ease. See dialled.
working	Figuring out and rehearsing the moves of a problem.
abalakov thread	A type of abseiling point used especially in winter and ice climbing.
ablation zone	The area of a glacier where annual melting meets or exceeds annual accumulation of snowfall.
abseiling	The process by which a climber descends a fixed rope.
add-on	A climbing game, played indoors, where climbers take turns creating a route, usually adding two moves at a time. Climbers usually play until they reach a certain number of falls.[4]
adze	A thin blade mounted perpendicular to the handle on an ice axe that can be used for chopping footholds in snow or ice.
aid climbing	Any style of climbing in which standing on or pulling oneself up via devices attached to fixed or placed protection is used to make upward progress.
aider	See etrier.
alpine climbing	Generally, any climbing that is done in the mountains, especially mountaineering. May include a mixture of ice climbing and dry-tooling. To climb "alpine style" generally means carrying all of one's gear in a backpack, even for multi-day climbs.
alpine cock ring (acr)	An anchor method similar to a cordelette but that is dynamically equalizing. It employs a cord and a rappel ring.[5]
alpine knee	To use one's knee as a way to gain ground on a climb.[6] Examples include the "'expansion knee,' by which the climber would overcome the lack of a piton large enough to fit a broad crack in the rock by inserting his knee into the crack, bending the leg to anchor, and hoisting himself up to a level where a piton might be inserted." [7]
alpine start	To make an efficient start on a long climb by packing all gear the previous evening and starting early in the morning, usually well before sunrise.[8]
american death triangle	An anchor which is created by connecting a closed loop of cord or webbing between two points of protection, and then suspending the rope from a carabiner clipped to only one strand of said anchor. This creates a triangular shape in the webbing or cord, which places massively multiplied inward forces on the protection, making it a dangerous, ineffective anchor.
anchor	An arrangement of one or (usually) more pieces of gear set up to support the weight of a belay or top rope.
approach	The path or route to the base of a technical climb.[1] Although this is generally a walk or, at most, a scramble, it is occasionally as hazardous as the climb itself. Special shoes called approach shoes are often preferred over climbing shoes for an approach.
arête	1.  A small ridge-like feature or a sharp outward-facing corner on a steep rock face.2.  A narrow ridge of rock formed by glacial erosion.3.  A method of indoor climbing in which one is able to use such a corner as a hold. See also dihedral.
arqué	(from the French word meaning arched) Used to describe crimping. In this position, typically the first set of knuckles are hyperextended and the second have a sharp angle of about 90 degrees. This combines muscular effort with soft tissue tensions in order to apply the load. When used often, this position has been known to over-stress the tendons in fingers and lead to injuries.
ascend	To climb a rope using an aid device.
ascender	A device for ascending a rope.
aspect	The geographical direction which a particular slope or rock wall faces, e.g. "north aspect".
atc	A proprietary belay device manufactured by Black Diamond. The term has become generic for any tubular belay device. ATC originally stood for "air traffic controller".[citation needed]
automatic belay	A fast method for setting up a two-point anchor in sport climbing, using the climbing rope to attach to the anchor points.
"b"-grade	A grading system for bouldering problems, invented by John Gill. Now largely superseded by the "V" grading system.
bachar ladder	A piece of training equipment used to improve campusing and core strength.
back-clipping	A potentially hazardous mistake that can be made while lead climbing, whereby the rope is clipped into a quickdraw such that the leader's end runs underneath the quickdraw as opposed to over the top of it. If the leader falls, the rope may fold directly over the gate, causing it to open and release the rope from the carabiner.
back-step	Stepping on a hold in such a way that the outside edge (little toe side) of a shoe touches the rock, while the hips are turned to the side in such a way that the outside of a hip faces into the rock.[1][9][10]
bail	To retreat from a climb.
ball nut	A type of aid protection consisting of a nut and a movable ball.[11]
barn-door	If all points of contact a climber has with the wall are on a straight axis, or close to it, their body may be vulnerable to swinging uncontrollably downward around this axis, like a door on a hinge.
bashie	A copperhead intended for pounding into a crack.
belay	To protect a roped climber from falling by controlling the movement of the rope. This usually involves the use of a belay device. A belay can also be achieved using a Munter hitch, a hip belay, or by passing the rope around a rock or tree to increase friction.
belay device	A mechanical device used to increase the braking force when belaying. Many different types of belay device exist, including plates, figure eights, tubers, geometrical assisted-braking devices, mechanical assisted-braking devices, and centrifugal devices. Some belay devices may also be used as a descender.
belay loop	The strongest point on a climbing harness; the loop to which a belay device is physically attached. The belay loop will wear more quickly if anything is tied around the belay loop such as a daisy chain or sling.
belay off	Called out by a belayer to confirm that the friction or pressure of belaying has been removed from a climbing rope. It is a standard response to a climber's "off belay" request.
belay on	Called out by a belayer to confirm that the friction or pressure of belaying has been (re)applied to a climbing rope. It is a standard response to a climber's "on belay" request.
belay station	The place from which a belayer is belaying, while anchored to the ground, the rock, or other objects.[12]
benightment	An unplanned overnight bivouac, often due to an epic.[citation needed]
bergschrund	A crevasse that forms on the upper portion of a glacier where the moving section pulls away from the headwall.
beta flash	The clean ascent of a climb on the first attempt, having previously obtained beta or while having beta shouted up from the ground en route. Also see on-sight.
bidoigt	(French for "two fingers") A climbing hold, typically a pocket or hueco, that has enough room for two fingers. See also mono.
big wall	Any climb on which most climbing parties will spend more than one day. "Big wall style" generally refers to hauling the needed gear (food, water, sleeping bags) in a haul bag (rather than carrying the gear on one's person) and raising the haul bag between pitches.
biner	See carabiner.
bivouac	A camp, or the act of camping, overnight while still on a climbing route off the ground. May involve nothing more than lying down or sitting on a rock ledge without any sleeping gear. When there is no rock ledge available, such as on a sheer vertical wall, a portaledge that hangs from anchors on the wall can be used.
bivy-bag	A lightweight garment or sack offering full-body protection from wind and rain, which can be used as a makeshift shelter for a bivouac.
bollard	A large knob of rock or ice used as a belay anchor.
bolt	A point of protection permanently installed in a hole drilled into the rock, to which a metal hanger is attached, with a hole for a carabiner or ring.
bolt chopping	The deliberate and destructive removal of one or more bolts.
bomb-proof anchor	A totally secure anchor. "Bomber" can also refer to a particularly solid handhold or foothold (e.g. a "bomber jug").
book	An inside angle in a rock face. See also dihedral.
booty	Gear left behind at a climbing area.
bosun's chair	1.  To reduce pains from heavy-duty climbing using a harness, such as long-time belaying or bolting a new route, climbers attach their harness with a special type of chair, which is usually light and has multiple high-endurance straps and buckles. Similar types are also used in industrial climbing.2.  Another name for a bowline on a bight, a rescue knot.
bouldering	The practice of climbing on large boulders. This type of climbing is done relatively close to the ground, typically less than 20 feet (6.1 m), such that protection takes the form of crash pads and spotting instead of belay ropes, which also obviates the need for bolts and anchors.
bowline on a bight	The bowline on a bight is a knot which makes a pair of fixed-size loops in the middle of a rope[13]. Its advantage is that it is reasonably easy to untie after being exposed to load. This knot can replace the figure-eight loop knot when tying into a climbing harness.
bucket	A large handhold.
bumbly	A novice or otherwise incompetent climber.[14]
bummer	A difficult or uncomfortable hold, often one that tears the skin on one's hand.
cam	A spring-loaded device used as protection.
camming	A motion or position where rotation of a piece of equipment or body part presses it tight against a rock, creating friction and holding it in place. As in spring-loaded camming device, heel-toe camming,[15] or knee bar camming.[16]
campus	The act of climbing without using the feet.
chest jam	Jamming the torso into a wide crack, especially in order to rest.
cheese grater	A sliding fall down a slab style climb.[17]
chock	A naturally occurring stone wedged in a crack.
classification	See grade.
clawing	Use of the front points of crampons, the pick of an ice axe, and/or an ice hammer pick to climb a snowy or icy slope.
clean	1.  To remove equipment from a route.2.  A route that is free of loose vegetation and rocks.3.  To complete a climb without falling or resting on the rope. See also redpoint.4.  In aid climbing, abbreviated "C", a route that does not require the use of a hammer or any invasive addition of protection (such as pitons or copperheads) into the rock.
cleaning tool	A device for removing jammed equipment, especially nuts, from a route.
climbing area	A region with numerous climbing routes.
climbing command	A short phrase used for communication between a climber and a belayer.
climbing gym	A specialized indoor climbing center. Usually just called a "climbing wall" in the UK. See gym climbing.
climbing shoe	A special type of footwear designed specifically for climbing. Usually well-fitting, with thick, strongly gripping rubber soles.
climbing technique	A particular technique or movement commonly applied in climbing.
climbing wall	Artificial rock, typically in a climbing gym.
clipping in	The process of attaching to belay lines or anchors for protection.
clipstick	See stick clip.
col	A small pass or "saddle" between two peaks. Excellent for navigation, as when standing on one it is always down in two, opposite, directions and up in the two directions in between those.
cold shuts	Industrial hardware used to link or repair steel chains, occasionally adapted by climbers as rappel anchors.[19] Cold shuts can be either open, shut or welded. Open cold shuts are the unaltered hardware, which is hammered closed and sometimes welded, resulting in more secure anchors.[20]
copperhead	A small nut with a head made of soft metal on a loop of wire.
cord lock	A lock or toggle used to fasten cords with gloved hands. Used on most mountaineering gear.
cordelette	A long loop of accessory cord used to tie into multiple anchor points.
cornice	An overhanging edge of snow on a ridge.
cowbell	Another name for a hexcentric, due to the noise they make when hung together on a harness.
crack climbing	To ascend on a rock wall by wedging body parts into natural cracks in the rock, i.e. not face climbing. See jamming and chimney.
crampons	A pair of metal frameworks with spikes attached to boots to increase safety on snow and ice.
cramponing	1.  Using crampons to ascend or descend on ice, preferably with the maximum number of points of the crampon into the ice for weight distribution.2.  Accidentally piercing something with a crampon spike.
crank	To pull on a hold as hard as possible.
crash pad	A thick mat used to soften landings or to cover hazardous objects in the event of a fall, especially in bouldering. See also bouldering mat.
crater	Hitting the ground at the end of a fall instead of being caught by the rope.
crux	The most difficult portion of a climb.
cup	A hand grip which is squeezed over the top or around the side, between the fingers and palm, forming a cup shape with the hand, or applying this type of hold on any protrusion or feature. More commonly known as guppy.
cut-loose	Where a climber's feet swing away from the rock on overhanging terrain, leaving the climber hanging only by their hands.
cwm	A hanging valley or cirque—a steep-walled semicircular basin in a mountain—sometimes containing a lake; also known as a corrie.
daisy chain	A special-purpose type of sling with multiple sewn or tied loops, used in aid and big wall climbing. It is designed to hold a climber's body weight, rather than to arrest a fall, and while the sling as a whole will have a strength rating comparable to that of a standard sling, the individual side loops (pockets) will typically have much lower ratings. This is because a load between the two strength ratings could cause the pocket stitching to break, allowing the attachment device, typically a carabiner, to slide to the end of the sling before being halted by the greater strength of the webbing material itself.
dead hang	To hang limp, such that weight is held by ligament tension rather than by muscles.
deadman anchor	An object which lies horizontally and[22] is buried in the snow to serve as an anchor for an attached rope. One object often used is a snow fluke.
deck	1.  The ground below a climbing route.2.  To hit the ground, usually as the outcome of a fall.
